"date","hospitalized"
"2020-07-01",0
"2020-07-02",0
"2020-07-03",0
"2020-07-04",0
"2020-07-05",0
"2020-07-06",0
"2020-07-07",0
"2020-07-08",1
"2020-07-09",3
"2020-07-10",1
"2020-07-11",21
"2020-07-12",21
"2020-07-13",34
"2020-07-14",47
"2020-07-15",47
"2020-07-16",57
"2020-07-17",78
"2020-07-18",109
"2020-07-19",109
"2020-07-20",144
"2020-07-21",161
"2020-07-22",171
"2020-07-23",193
"2020-07-24",201
"2020-07-25",264
"2020-07-26",264
"2020-07-27",294
"2020-07-28",288
"2020-07-29",312
"2020-07-30",350
"2020-07-31",350
"2020-08-01",350
"2020-08-02",474
"2020-08-03",484
"2020-08-04",491
"2020-08-05",497
"2020-08-06",513
"2020-08-07",513
"2020-08-08",513
"2020-08-09",555
"2020-08-10",560
"2020-08-11",556
"2020-08-12",549
"2020-08-13",559
"2020-08-14",514
"2020-08-15",527
"2020-08-16",549
"2020-08-17",551
"2020-08-18",538
"2020-08-19",538
"2020-08-20",541
"2020-08-21",541
"2020-08-22",537
"2020-08-23",537
"2020-08-24",525
"2020-08-25",524
"2020-08-26",516
"2020-08-27",513
"2020-08-28",497
"2020-08-29",508
"2020-08-30",524
"2020-08-31",513
"2020-09-01",495
"2020-09-02",479
"2020-09-03",466
"2020-09-04",442
"2020-09-05",458
"2020-09-06",485
"2020-09-07",484
"2020-09-08",487
"2020-09-09",476
"2020-09-10",462
"2020-09-11",450
"2020-09-12",461
"2020-09-13",467
"2020-09-14",483
"2020-09-15",473
"2020-09-16",469
"2020-09-17",473
"2020-09-18",459
"2020-09-19",470
"2020-09-20",489
"2020-09-21",505
"2020-09-22",493
"2020-09-23",476
"2020-09-24",466
"2020-09-25",450
"2020-09-26",470
"2020-09-27",484
"2020-09-28",463
"2020-09-29",421
"2020-09-30",433
"2020-10-01",424
"2020-10-02",411
"2020-10-03",425
"2020-10-04",452
"2020-10-05",422
"2020-10-06",422
"2020-10-07",432
"2020-10-08",432
"2020-10-09",412
"2020-10-10",410
"2020-10-11",431
"2020-10-12",455
"2020-10-13",492
"2020-10-14",502
"2020-10-15",524
"2020-10-16",526
"2020-10-17",544
"2020-10-18",578
"2020-10-19",580
"2020-10-20",594
"2020-10-21",628
"2020-10-22",639
"2020-10-23",637
"2020-10-24",683
"2020-10-25",744
"2020-10-26",798
"2020-10-27",827
"2020-10-28",852
"2020-10-29",880
"2020-10-30",888
"2020-10-31",950
"2020-11-01",970
"2020-11-02",1017
"2020-11-03",1038
"2020-11-04",1037
"2020-11-05",996
"2020-11-06",952
"2020-11-07",1004
"2020-11-08",1032
"2020-11-09",1024
"2020-11-10",998
"2020-11-11",1009
"2020-11-12",969
"2020-11-13",918
"2020-11-14",917
"2020-11-15",949
"2020-11-16",910
"2020-11-17",875
"2020-11-18",803
"2020-11-19",765
"2020-11-20",691
"2020-11-21",701
"2020-11-22",709
"2020-11-23",680
"2020-11-24",623
"2020-11-25",584
"2020-11-26",571
"2020-11-27",556
"2020-11-28",566
"2020-11-29",591
"2020-11-30",569
"2020-12-01",547
"2020-12-02",541
"2020-12-03",522
"2020-12-04",474
"2020-12-05",475
"2020-12-06",484
"2020-12-07",491
"2020-12-08",499
"2020-12-09",486
"2020-12-10",464
"2020-12-11",417
"2020-12-12",420
"2020-12-13",422
"2020-12-14",427
"2020-12-15",418
"2020-12-16",386
"2020-12-17",384
"2020-12-18",374
"2020-12-19",374
"2020-12-20",389
"2020-12-21",367
"2020-12-22",358
"2020-12-23",321
"2020-12-24",321
"2020-12-25",327
"2020-12-26",330
"2020-12-27",350
"2020-12-28",352
"2020-12-29",334
"2020-12-30",312
"2020-12-31",312
"2021-01-01",343
"2021-01-02",354
"2021-01-03",388
"2021-01-04",399
"2021-01-05",399
"2021-01-06",420
"2021-01-07",445
"2021-01-08",417
"2021-01-09",437
"2021-01-10",469
"2021-01-11",477
"2021-01-12",468
"2021-01-13",497
"2021-01-14",519
"2021-01-15",532
"2021-01-16",554
"2021-01-17",603
"2021-01-18",641
"2021-01-19",641
"2021-01-20",647
"2021-01-21",674
"2021-01-22",692
"2021-01-23",737
"2021-01-24",784
"2021-01-25",774
"2021-01-26",767
"2021-01-27",746
"2021-01-28",736
"2021-01-29",753
"2021-01-30",769
"2021-01-31",781
"2021-02-01",788
"2021-02-02",759
"2021-02-03",745
"2021-02-04",736
"2021-02-05",693
"2021-02-06",727
"2021-02-07",758
"2021-02-08",728
"2021-02-09",741
"2021-02-10",704
"2021-02-11",686
"2021-02-12",652
"2021-02-13",647
"2021-02-14",669
"2021-02-15",622
"2021-02-16",570
"2021-02-17",532
"2021-02-18",503
"2021-02-19",457
"2021-02-20",458
"2021-02-21",475
"2021-02-22",446
"2021-02-23",423
"2021-02-24",405
"2021-02-25",381
"2021-02-26",356
"2021-02-27",364
"2021-02-28",372
"2021-03-01",367
"2021-03-02",339
"2021-03-03",323
"2021-03-04",312
"2021-03-05",322
"2021-03-06",316
"2021-03-07",329
"2021-03-08",310
"2021-03-09",301
"2021-03-10",287
"2021-03-11",286
"2021-03-12",265
"2021-03-13",276
"2021-03-14",286
"2021-03-15",279
"2021-03-16",262
"2021-03-17",249
"2021-03-18",255
"2021-03-19",243
"2021-03-20",251
"2021-03-21",252
"2021-03-22",270
"2021-03-23",276
"2021-03-24",269
"2021-03-25",271
"2021-03-26",244
"2021-03-27",252
"2021-03-28",263
"2021-03-29",268
"2021-03-30",282
"2021-03-31",277
"2021-04-01",277
"2021-04-02",294
"2021-04-03",294
"2021-04-04",325
"2021-04-05",309
"2021-04-06",298
"2021-04-07",307
"2021-04-08",300
"2021-04-09",283
"2021-04-10",295
"2021-04-11",319
"2021-04-12",334
"2021-04-13",339
"2021-04-14",353
"2021-04-15",339
"2021-04-16",343
"2021-04-17",361
"2021-04-18",391
"2021-04-19",377
"2021-04-20",370
"2021-04-21",384
"2021-04-22",368
"2021-04-23",378
"2021-04-24",388
"2021-04-25",399
"2021-04-26",391
"2021-04-27",379
"2021-04-28",365
"2021-04-29",368
"2021-04-30",360
"2021-05-01",380
"2021-05-02",388
"2021-05-03",373
"2021-05-04",368
"2021-05-05",382
"2021-05-06",378
"2021-05-07",358
"2021-05-08",366
"2021-05-09",383
"2021-05-10",371
"2021-05-11",356
"2021-05-12",321
"2021-05-13",313
"2021-05-14",285
"2021-05-15",291
"2021-05-16",304
"2021-05-17",297
"2021-05-18",285
"2021-05-19",269
"2021-05-20",248
"2021-05-21",227
"2021-05-22",235
"2021-05-23",251
"2021-05-24",247
"2021-05-25",222
"2021-05-26",218
"2021-05-27",215
"2021-05-28",215
"2021-05-29",215
"2021-05-30",229
"2021-05-31",217
"2021-06-01",205
"2021-06-02",190
"2021-06-03",180
