fecha,median,lower,upper,observed
2020-07-01,0.0,0.0,2.0,3
2020-07-02,1.0,0.0,3.0,3
2020-07-03,1.0,0.0,4.0,4
2020-07-04,1.0,0.0,5.0,2
2020-07-05,2.0,0.0,5.0,2
2020-07-06,2.0,0.0,6.0,3
2020-07-07,3.0,0.0,8.0,5
2020-07-08,4.0,1.0,9.0,3
2020-07-09,4.0,1.0,10.0,3
2020-07-10,5.0,1.0,11.0,5
2020-07-11,6.0,2.0,13.0,3
2020-07-12,7.0,2.0,14.0,6
2020-07-13,9.0,3.0,17.0,13
2020-07-14,11.0,5.0,20.0,13
2020-07-15,14.0,7.0,24.0,10
2020-07-16,17.0,8.0,28.0,16
2020-07-17,19.0,9.0,31.0,25
2020-07-18,21.0,11.0,34.0,12
2020-07-19,22.0,12.0,36.0,13
2020-07-20,24.0,13.0,37.0,21
2020-07-21,26.0,14.0,40.0,20
2020-07-22,28.0,16.0,44.0,28
2020-07-23,29.0,16.0,46.0,25
2020-07-24,30.0,17.0,47.0,31
2020-07-25,30.0,17.0,47.0,30
2020-07-26,30.0,17.0,46.0,30
2020-07-27,32.0,18.0,50.0,54
2020-07-28,34.0,19.0,51.0,42
2020-07-29,36.0,21.0,54.0,41
2020-07-30,36.0,22.0,56.0,37
2020-07-31,36.0,21.0,55.0,51
2020-08-01,40.0,24.0,61.0,57
2020-08-02,44.0,27.0,65.0,26
2020-08-03,43.0,26.0,65.0,46
2020-08-04,42.0,25.0,63.0,45
2020-08-05,41.0,25.0,62.024999999999636,47
2020-08-06,41.0,24.0,62.0,52
2020-08-07,42.0,26.0,63.0,41
2020-08-08,43.0,26.0,64.0,31
2020-08-09,41.0,25.0,62.0,29
2020-08-10,40.0,24.0,61.0,35
2020-08-11,40.0,24.0,61.0,34
2020-08-12,39.0,23.0,59.0,50
2020-08-13,38.0,23.0,58.0,44
2020-08-14,37.0,22.0,57.0,39
2020-08-15,37.0,22.0,55.0,31
2020-08-16,35.0,21.0,54.0,22
2020-08-17,34.0,19.0,52.0,31
2020-08-18,34.0,19.0,51.0,38
2020-08-19,33.0,19.0,50.0,32
2020-08-20,32.0,18.0,49.0,45
2020-08-21,30.0,18.0,47.0,40
2020-08-22,29.0,17.0,45.0,31
2020-08-23,28.0,16.0,44.0,19
2020-08-24,27.0,15.0,42.0,36
2020-08-25,26.0,14.0,41.0,40
2020-08-26,26.0,14.0,41.0,25
2020-08-27,25.0,14.0,39.0,49
2020-08-28,25.0,13.0,39.0,38
2020-08-29,24.0,14.0,39.0,23
2020-08-30,24.0,13.0,38.0,22
2020-08-31,24.0,13.0,38.0,26
2020-09-01,24.0,13.0,38.0,28
2020-09-02,25.0,13.0,38.0,29
2020-09-03,25.0,14.0,40.0,27
2020-09-04,26.0,14.0,40.0,38
2020-09-05,26.0,15.0,41.0,22
2020-09-06,26.0,15.0,41.0,26
2020-09-07,26.0,14.0,41.0,36
2020-09-08,27.0,15.0,42.0,36
2020-09-09,28.0,16.0,43.0,31
2020-09-10,29.0,16.0,45.0,21
2020-09-11,30.0,16.0,45.0,40
2020-09-12,31.0,18.0,47.0,31
2020-09-13,31.0,18.0,47.0,21
2020-09-14,31.0,18.0,48.0,29
2020-09-15,31.0,18.0,48.0,42
2020-09-16,31.0,18.0,48.0,40
2020-09-17,31.0,18.0,48.0,35
2020-09-18,31.0,19.0,48.0,43
2020-09-19,31.0,18.0,48.0,27
2020-09-20,30.0,17.0,46.0,21
2020-09-21,29.0,16.0,44.0,31
2020-09-22,29.0,16.0,45.0,38
2020-09-23,29.0,16.0,44.0,30
2020-09-24,29.0,16.0,45.0,40
2020-09-25,29.0,16.0,45.0,37
